,forwardPE,beta,priceToBook,returnOnEquity,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster
Apple,25.477737,1.178,47.706173,1.3652,2,1,-1
Microsoft,25.769566,0.914,9.4629345,0.34291,4,0,0
Amazon,32.071545,1.192,7.3062677,0.24290001,4,0,0
Alphabet,18.296875,1.025,6.158065,0.32908002,4,0,0
Meta,23.793304,1.231,8.352003,0.37140998,4,0,0
Tesla,75.79738,2.507,10.832017,0.1042,0,2,-1
NVIDIA,29.266165,1.765,37.203518,1.1917701,2,1,-1
Tencent,17.894459,0.568,0.6865345,0.19083999,1,0,0
Alibaba,14.189464,0.272,0.32379782,0.102740005,1,4,0
IBM,23.336004,0.734,8.398746,0.24057,4,0,0
Intel,24.59804,1.018,1.0407441,-0.17891,4,0,-1
Oracle,20.973463,1.066,25.158318,1.03741,2,1,-1
Sony,20.201681,0.725,0.017696014,0.14321,1,0,0
Adobe,18.824818,1.37,12.880403,0.47284,4,0,0
Netflix,38.439445,1.377,15.802403,0.38435,4,0,0
AMD,19.703922,1.736,2.8313422,0.02893,4,0,-1
Qualcomm,12.7224045,1.289,6.39861,0.41968,4,0,0
Cisco,15.476923,0.776,5.2725368,0.20019,1,0,0
JP Morgan,13.836918,1.09,1.9956748,0.17386,4,0,0
Goldman Sachs,12.957892,1.362,1.6067562,0.11913,4,0,0
Visa,26.138231,0.949,17.30158,0.51191,4,0,0
Johnson & Johnson,15.2688675,0.463,5.449128,0.20056,1,4,0
Pfizer,8.755973,0.543,1.6483552,0.09057,1,4,0
ExxonMobil,14.043201,0.802,1.8243644,0.14515,1,0,0
ASML,27.014061,1.113,13.903494,0.47427,4,0,0
SAP,39.19381,0.9,6.178275,0.07062,4,0,-1
Siemens,27.173145,1.178,3.052637,0.14071,4,0,0
Louis Vuitton (LVMH),20.869713,0.996,4.4902515,0.19635001,4,0,0
TotalEnergies,7.676903,0.69,1.0968258,0.13375,1,4,0
Shell,8.527687,0.408,89.786674,0.089650005,3,3,-1
Baidu,8.457845,0.469,0.12342004,0.088520005,1,4,0
JD.com,10.376812,0.437,0.26052785,0.14649999,1,4,0
BYD,31.878979,0.588,1.8732688,0.22760999,4,0,0
ICBC,5.2314816,0.225,0.5629733,0.09625,1,4,0
Toyota,11.797846,0.302,0.067893244,0.14547,1,4,0
SoftBank,26.536625,0.768,0.93846685,0.105500005,4,0,0
Nintendo,8.112149,0.19,0.0075092027,0.12366,1,4,0
Tata Consultancy Services,22.6988,0.477,11.602443,0.48668998,4,0,0
